sample-id	data	type	region
#q2:types	categorical	categorical	categorical
ASIA-918	microbiome	apple	ASIA 
ASIA-919	microbiome	apple	ASIA
ASIA-924	microbiome	apple	ASIA
ASIA-925	microbiome	apple	ASIA
ASIA-926	microbiome	apple	ASIA
ASIA-931	microbiome	apple	ASIA
NA-343	microbiome	apple	NA 
NA-344	microbiome	apple	NA
NA-345	microbiome	apple	NA
NA-346	microbiome	apple	NA
NA-347	microbiome	apple	NA
NA-348	microbiome	apple	NA
NA-349	microbiome	apple	NA
NA-350	microbiome	apple	NA
NA-351	microbiome	apple	NA
NA-352	microbiome	apple	NA
NA-353	microbiome	apple	NA
NA-354	microbiome	apple	NA
NA-355	microbiome	apple	NA
NA-356	microbiome	apple	NA
