sample-id	data	type	region
#q2:types	categorical	categorical	categorical
ASIA-931	microbiome	corn	ASIA 
ASIA-933	microbiome	corn	ASIA
ASIA-935	microbiome	corn	ASIA
ASIA-937	microbiome	corn	ASIA
ASIA-949	microbiome	corn	ASIA
ASIA-951	microbiome	corn	ASIA	
ASIA-953	microbiome	corn	ASIA
ASIA-955	microbiome	corn	ASIA
ASIA-965	microbiome	corn	ASIA
ASIA-967	microbiome	corn	ASIA
ASIA-971	microbiome	corn	ASIA
ASIA-973	microbiome	corn	ASIA
CAN-243	microbiome	corn	CAN
CAN-244	microbiome	corn	CAN
CAN-245	microbiome	corn	CAN
CAN-246	microbiome	corn	CAN
CAN-253	microbiome	corn	CAN
CAN-254	microbiome	corn	CAN
CAN-255	microbiome	corn	CAN
CAN-263	microbiome	corn	CAN
CAN-264	microbiome	corn	CAN
CAN-265	microbiome	corn	CAN
CAN-273	microbiome	corn	CAN
CAN-274	microbiome	corn	CAN
