sample-id	data	type	region
#q2:types	categorical	categorical	categorical
ASIA-187	microbiome	soil	ASIA
ASIA-188	microbiome	soil	ASIA
ASIA-189	microbiome	soil	ASIA
ASIA-190	microbiome	soil	ASIA
ASIA-191	microbiome	soil	ASIA
ASIA-192	microbiome	soil	ASIA
ASIA-193	microbiome	soil	ASIA
ASIA-194	microbiome	soil	ASIA
ASIA-195	microbiome	soil	ASIA
ASIA-196	microbiome	soil	ASIA
NA-10	microbiome	soil	NA
NA-11	microbiome	soil	NA
NA-12	microbiome	soil	NA
NA-13	microbiome	soil	NA
NA-14	microbiome	soil	NA
NA-15	microbiome	soil	NA
NA-16	microbiome	soil	NA
NA-17	microbiome	soil	NA
NA-18	microbiome	soil	NA
NA-19	microbiome	soil	NA
NA-20	microbiome	soil	NA
NA-21	microbiome	soil	NA
NA-22	microbiome	soil	NA
NA-23	microbiome	soil	NA
NA-24	microbiome	soil	NA
NA-2	microbiome	soil	NA	
NA-30	microbiome	soil	NA
NA-31	microbiome	soil	NA
NA-3	microbiome	soil	NA
NA-4	microbiome	soil	NA
NA-5	microbiome	soil	NA
NA-6	microbiome	soil	NA
NA-7	microbiome	soil	NA
NA-8	microbiome	soil	NA
NA-9	microbiome	soil	NA
